Iron Ore Lumps,2450,71242,12213,37724,14
Iron Ore Fines,8508,143873,34267,75424,8
Limestone(SMS Grade),0,35861,18982,27769,17
Limestone(SP Grade),0,16351,3479,6544,11
Dolominte(SMS Grade),0,3885,17267,22852,54
Dolominte(SP Grade),7795,7795,27044,16083,17
