SOURCE,Sample Date,CSR,CRI,M10,M40,MOISTURE(%)
COB 10,2023-05-15,65.2,22.9,7.7,84.98,3.92
COB 11,2023-05-14,67.1,20,5.6,89.52,0.56
Mixed_Coke,2023-05-15,66.4,21,6.1,87.62,1.2
Iron Ore,Sample Date,Fe,SiO2,Al2O3,Over Size,Under Size
Lumps,2023-05-16,62.55,1.96,1.78,27.13,18.74
Fines,2023-05-16,61.89,3.192,2.263,6.59,44.04
Sinter,Sample Time,Fe,SiO2,Al2O3,Available Lime,-5(mm)
2023-05-17,,,,6.05,1.48
HotMetal,Sample Time,Silicon,Sulphur,Hot Metal Temp,,
2023-05-17,0.75,0.03,1499,,
